"Beach Name","Measurement Timestamp","Water Temperature","Turbidity","Transducer Depth","Wave Height","Wave Period","Battery Life","Measurement Timestamp Label","Measurement ID"
"Ohio Street Beach","08/09/2018 02:00:00 PM","25.6","0.5",,"0.11","4","11.2","08/09/2018 2:00 PM","OhioStreetBeach201808091400"
"Ohio Street Beach","08/09/2018 01:00:00 PM","25.8","0.55",,"0.132","3","11.1","08/09/2018 1:00 PM","OhioStreetBeach201808091300"
"Ohio Street Beach","08/09/2018 12:00:00 PM","24.9","0.56",,"0.142","3","11.2","08/09/2018 12:00 PM","OhioStreetBeach201808091200"
"Ohio Street Beach","08/09/2018 11:00:00 AM","24.3","0.53",,"0.134","9","11.1","08/09/2018 11:00 AM","OhioStreetBeach201808091100"
"Ohio Street Beach","08/09/2018 10:00:00 AM","24.2","0.56",,"0.072","4","11.2","08/09/2018 10:00 AM","OhioStreetBeach201808091000"
"Ohio Street Beach","08/09/2018 09:00:00 AM","23.8","0.62",,"0.079","4","11.2","08/09/2018 9:00 AM","OhioStreetBeach201808090900"
"Ohio Street Beach","08/09/2018 08:00:00 AM","23.6","0.63",,"0.067","4","11.2","08/09/2018 8:00 AM","OhioStreetBeach201808090800"
"Ohio Street Beach","08/09/2018 07:00:00 AM","23.5","0.83",,"0.067","4","11.2","08/09/2018 7:00 AM","OhioStreetBeach201808090700"
"Ohio Street Beach","08/09/2018 06:00:00 AM","23.5","0.75",,"0.074","4","11.2","08/09/2018 6:00 AM","OhioStreetBeach201808090600"
"Ohio Street Beach","08/09/2018 05:00:00 AM","23.6","1.07",,"0.077","4","11.2","08/09/2018 5:00 AM","OhioStreetBeach201808090500"
"Ohio Street Beach","08/09/2018 04:00:00 AM","23.6","0.88",,"0.085","4","11.2","08/09/2018 4:00 AM","OhioStreetBeach201808090400"
"Ohio Street Beach","08/09/2018 03:00:00 AM","23.6","0.79",,"0.094","4","11.2","08/09/2018 3:00 AM","OhioStreetBeach201808090300"
"Ohio Street Beach","08/09/2018 02:00:00 AM","23.7","0.71",,"0.104","3","11.2","08/09/2018 2:00 AM","OhioStreetBeach201808090200"
"Ohio Street Beach","08/09/2018 01:00:00 AM","23.7","0.81",,"0.11","3","11.2","08/09/2018 1:00 AM","OhioStreetBeach201808090100"
"Ohio Street Beach","08/09/2018 12:00:00 AM","23.8","0.88",,"0.135","4","11.2","08/09/2018 12:00 AM","OhioStreetBeach201808092400"
"Ohio Street Beach","08/08/2018 11:00:00 PM","23.8","0.84",,"0.137","4","11.2","08/08/2018 11:00 PM","OhioStreetBeach201808082300"
"Ohio Street Beach","08/08/2018 10:00:00 PM","23.9","1.03",,"0.172","4","11.2","08/08/2018 10:00 PM","OhioStreetBeach201808082200"
"Ohio Street Beach","08/08/2018 09:00:00 PM","24","0.92",,"0.178","4","11.2","08/08/2018 9:00 PM","OhioStreetBeach201808082100"
"Ohio Street Beach","08/08/2018 08:00:00 PM","24.2","1.62",,"0.217","4","11.1","08/08/2018 8:00 PM","OhioStreetBeach201808082000"
"Ohio Street Beach","08/08/2018 07:00:00 PM","24.4","1.68",,"0.206","4","11.2","08/08/2018 7:00 PM","OhioStreetBeach201808081900"
"Ohio Street Beach","08/08/2018 06:00:00 PM","25.2","1.94",,"0.225","4","11.1","08/08/2018 6:00 PM","OhioStreetBeach201808081800"
"Ohio Street Beach","08/08/2018 05:00:00 PM","25.6","2.21",,"0.206","4","11.2","08/08/2018 5:00 PM","OhioStreetBeach201808081700"
"Ohio Street Beach","08/08/2018 04:00:00 PM","25.3","2.22",,"0.201","4","11.2","08/08/2018 4:00 PM","OhioStreetBeach201808081600"
"Ohio Street Beach","08/08/2018 03:00:00 PM","25.1","2.25",,"0.227","4","11.2","08/08/2018 3:00 PM","OhioStreetBeach201808081500"
"Ohio Street Beach","08/08/2018 02:00:00 PM","24.6","1.81",,"0.23","4","11.2","08/08/2018 2:00 PM","OhioStreetBeach201808081400"
"Ohio Street Beach","08/08/2018 01:00:00 PM","24","1.05",,"0.22","5","11.2","08/08/2018 1:00 PM","OhioStreetBeach201808081300"
"Ohio Street Beach","08/08/2018 12:00:00 PM","23.8","1.46",,"0.227","5","11.2","08/08/2018 12:00 PM","OhioStreetBeach201808081200"
"Ohio Street Beach","08/08/2018 09:00:00 AM","23.5","1.38",,"0.2","4","11.2","08/08/2018 9:00 AM","OhioStreetBeach201808080900"
"Ohio Street Beach","08/08/2018 08:00:00 AM","23.5","1.51",,"0.216","4","11.2","08/08/2018 8:00 AM","OhioStreetBeach201808080800"
"Ohio Street Beach","08/08/2018 07:00:00 AM","23.5","1.64",,"0.192","4","11.2","08/08/2018 7:00 AM","OhioStreetBeach201808080700"
"Ohio Street Beach","08/08/2018 06:00:00 AM","23.5","2.09",,"0.198","4","11.2","08/08/2018 6:00 AM","OhioStreetBeach201808080600"
"Ohio Street Beach","08/08/2018 05:00:00 AM","23.6","2.13",,"0.201","5","11.3","08/08/2018 5:00 AM","OhioStreetBeach201808080500"
"Ohio Street Beach","08/08/2018 04:00:00 AM","23.6","2.08",,"0.213","4","11.3","08/08/2018 4:00 AM","OhioStreetBeach201808080400"
"Ohio Street Beach","08/08/2018 03:00:00 AM","23.7","1.52",,"0.212","5","11.3","08/08/2018 3:00 AM","OhioStreetBeach201808080300"
"Ohio Street Beach","08/08/2018 02:00:00 AM","23.7","1.49",,"0.203","4","11.3","08/08/2018 2:00 AM","OhioStreetBeach201808080200"
"Ohio Street Beach","08/08/2018 01:00:00 AM","23.8","1.66",,"0.222","4","11.3","08/08/2018 1:00 AM","OhioStreetBeach201808080100"
"Ohio Street Beach","08/08/2018 12:00:00 AM","23.8","1.55",,"0.218","4","11.3","08/08/2018 12:00 AM","OhioStreetBeach201808082400"
"Ohio Street Beach","08/07/2018 11:00:00 PM","23.9","1.7",,"0.215","5","11.2","08/07/2018 11:00 PM","OhioStreetBeach201808072300"
"Ohio Street Beach","08/07/2018 10:00:00 PM","24","1.56",,"0.225","5","11.3","08/07/2018 10:00 PM","OhioStreetBeach201808072200"
"Ohio Street Beach","08/07/2018 09:00:00 PM","24.1","1.36",,"0.21","6","11.3","08/07/2018 9:00 PM","OhioStreetBeach201808072100"
"Ohio Street Beach","08/07/2018 08:00:00 PM","24.1","1.4",,"0.237","5","11.3","08/07/2018 8:00 PM","OhioStreetBeach201808072000"
"Ohio Street Beach","08/07/2018 07:00:00 PM","24.1","1.3",,"0.224","4","11.2","08/07/2018 7:00 PM","OhioStreetBeach201808071900"
"Ohio Street Beach","08/07/2018 06:00:00 PM","24.3","1.37",,"0.23","3","11.3","08/07/2018 6:00 PM","OhioStreetBeach201808071800"
"Ohio Street Beach","08/07/2018 05:00:00 PM","24.4","1.22",,"0.213","3","11.1","08/07/2018 5:00 PM","OhioStreetBeach201808071700"
"Ohio Street Beach","08/07/2018 04:00:00 PM","24.8","1.12",,"0.128","2","11.3","08/07/2018 4:00 PM","OhioStreetBeach201808071600"
"Ohio Street Beach","08/07/2018 03:00:00 PM","24.8","0.95",,"0.124","2","11.3","08/07/2018 3:00 PM","OhioStreetBeach201808071500"
"Ohio Street Beach","08/07/2018 02:00:00 PM","24.9","0.96",,"0.166","4","11.3","08/07/2018 2:00 PM","OhioStreetBeach201808071400"
"Ohio Street Beach","08/07/2018 01:00:00 PM","24.9","1.02",,"0.166","3","11.3","08/07/2018 1:00 PM","OhioStreetBeach201808071300"
"Ohio Street Beach","08/07/2018 12:00:00 PM","24.5","1.08",,"0.181","2","11.3","08/07/2018 12:00 PM","OhioStreetBeach201808071200"
"Ohio Street Beach","08/07/2018 11:00:00 AM","24","0.98",,"0.112","3","11.3","08/07/2018 11:00 AM","OhioStreetBeach201808071100"
"Ohio Street Beach","08/07/2018 10:00:00 AM","23.7","1.01",,"0.137","2","11.3","08/07/2018 10:00 AM","OhioStreetBeach201808071000"
"Ohio Street Beach","08/07/2018 09:00:00 AM","23.5","0.94",,"0.084","5","11.3","08/07/2018 9:00 AM","OhioStreetBeach201808070900"
"Ohio Street Beach","08/07/2018 08:00:00 AM","23.3","1.01",,"0.078","2","11.3","08/07/2018 8:00 AM","OhioStreetBeach201808070800"
"Ohio Street Beach","08/07/2018 07:00:00 AM","23.3","1.09",,"0.082","7","11.3","08/07/2018 7:00 AM","OhioStreetBeach201808070700"
"Ohio Street Beach","08/07/2018 06:00:00 AM","23.3","1.21",,"0.097","2","11.3","08/07/2018 6:00 AM","OhioStreetBeach201808070600"
"Ohio Street Beach","08/07/2018 04:00:00 AM","23.4","1.18",,"0.101","3","11.3","08/07/2018 4:00 AM","OhioStreetBeach201808070400"
"Ohio Street Beach","08/07/2018 03:00:00 AM","23.5","1.22",,"0.106","4","11.3","08/07/2018 3:00 AM","OhioStreetBeach201808070300"
"Ohio Street Beach","08/07/2018 02:00:00 AM","23.6","1.25",,"0.122","6","11.4","08/07/2018 2:00 AM","OhioStreetBeach201808070200"
"Ohio Street Beach","08/07/2018 01:00:00 AM","23.7","1.27",,"0.119","3","11.3","08/07/2018 1:00 AM","OhioStreetBeach201808070100"
"Ohio Street Beach","08/07/2018 12:00:00 AM","23.8","1.21",,"0.129","3","11.3","08/07/2018 12:00 AM","OhioStreetBeach201808072400"
"Ohio Street Beach","08/06/2018 11:00:00 PM","23.8","1.26",,"0.137","3","11.4","08/06/2018 11:00 PM","OhioStreetBeach201808062300"
"Ohio Street Beach","08/06/2018 10:00:00 PM","23.9","1.54",,"0.151","3","11.4","08/06/2018 10:00 PM","OhioStreetBeach201808062200"
