"Beach Name","Measurement Timestamp","Water Temperature","Turbidity","Transducer Depth","Wave Height","Wave Period","Battery Life","Measurement Timestamp Label","Measurement ID"
"Ohio Street Beach","08/25/2021 06:00:00 PM","24.8","1.01",,"0.172","3","11.2","08/25/2021 6:00 PM","OhioStreetBeach202108251800"
"Ohio Street Beach","08/25/2021 05:00:00 PM","25.4","0.95",,"0.154","3","11.2","08/25/2021 5:00 PM","OhioStreetBeach202108251700"
"Ohio Street Beach","08/25/2021 04:00:00 PM","25.7","1.28",,"0.167","2","11.2","08/25/2021 4:00 PM","OhioStreetBeach202108251600"
"Ohio Street Beach","08/25/2021 03:00:00 PM","25.6","7.29",,"0.147","4","11.2","08/25/2021 3:00 PM","OhioStreetBeach202108251500"
"Ohio Street Beach","08/25/2021 02:00:00 PM","25.9","204.53",,"0.122","4","11.2","08/25/2021 2:00 PM","OhioStreetBeach202108251400"
"Ohio Street Beach","08/25/2021 01:00:00 PM","25.8","298.84",,"0.128","3","11.2","08/25/2021 1:00 PM","OhioStreetBeach202108251300"
"Ohio Street Beach","08/25/2021 12:00:00 PM","24.6","201.94",,"0.151","4","11.2","08/25/2021 12:00 PM","OhioStreetBeach202108251200"
"Ohio Street Beach","08/25/2021 11:00:00 AM","23.9","213.35",,"0.203","3","11.2","08/25/2021 11:00 AM","OhioStreetBeach202108251100"
"Ohio Street Beach","08/25/2021 10:00:00 AM","23.5","11.25",,"0.099","6","11.2","08/25/2021 10:00 AM","OhioStreetBeach202108251000"
"Ohio Street Beach","08/25/2021 09:00:00 AM","23.4","16.21",,"0.105","4","11.2","08/25/2021 9:00 AM","OhioStreetBeach202108250900"
"Ohio Street Beach","08/25/2021 08:00:00 AM","23.2","75.6",,"0.155","4","11.2","08/25/2021 8:00 AM","OhioStreetBeach202108250800"
"Ohio Street Beach","08/25/2021 07:00:00 AM","23.1","1.19",,"0.148","4","11.2","08/25/2021 7:00 AM","OhioStreetBeach202108250700"
"Ohio Street Beach","08/25/2021 06:00:00 AM","23.1","1.25",,"0.157","5","11.2","08/25/2021 6:00 AM","OhioStreetBeach202108250600"
"Ohio Street Beach","08/25/2021 05:00:00 AM","23.1","1.32",,"0.189","5","11.2","08/25/2021 5:00 AM","OhioStreetBeach202108250500"
"Ohio Street Beach","08/25/2021 04:00:00 AM","23.1","1.3",,"0.175","5","11.2","08/25/2021 4:00 AM","OhioStreetBeach202108250400"
"Ohio Street Beach","08/25/2021 03:00:00 AM","23.2","1.07",,"0.18","6","11.2","08/25/2021 3:00 AM","OhioStreetBeach202108250300"
"Ohio Street Beach","08/25/2021 02:00:00 AM","23.2","1.21",,"0.196","4","11.2","08/25/2021 2:00 AM","OhioStreetBeach202108250200"
"Ohio Street Beach","08/25/2021 01:00:00 AM","23.3","1.22",,"0.178","4","11.2","08/25/2021 1:00 AM","OhioStreetBeach202108250100"
"Ohio Street Beach","08/25/2021 12:00:00 AM","23.4","1.2",,"0.172","5","11.2","08/25/2021 12:00 AM","OhioStreetBeach202108252400"
"Ohio Street Beach","08/24/2021 11:00:00 PM","23.5","1.3",,"0.187","5","11.3","08/24/2021 11:00 PM","OhioStreetBeach202108242300"
"Ohio Street Beach","08/24/2021 11:00:00 PM","23.5","1.3",,"0.187","5","11.3","08/24/2021 11:00 PM","OhioStreetBeach202108242300"
"Ohio Street Beach","08/24/2021 09:00:00 PM","23.6","1.36",,"0.208","5","11.3","08/24/2021 9:00 PM","OhioStreetBeach202108242100"
"Ohio Street Beach","08/24/2021 06:00:00 PM","23.6","0.73",,"0.311","3","11.3","08/24/2021 6:00 PM","OhioStreetBeach202108241800"
"Ohio Street Beach","08/24/2021 02:00:00 PM","24.5","1",,"0.144","3","11.3","08/24/2021 2:00 PM","OhioStreetBeach202108241400"
"Ohio Street Beach","08/24/2021 09:00:00 AM","23.2","0.81",,"0.094","5","11.3","08/24/2021 9:00 AM","OhioStreetBeach202108240900"
"Ohio Street Beach","08/24/2021 03:00:00 AM","22.9","0.94",,"0.078","5","11.3","08/24/2021 3:00 AM","OhioStreetBeach202108240300"
"Ohio Street Beach","08/23/2021 08:00:00 PM","23.1","1.09",,"0.154","4","11.4","08/23/2021 8:00 PM","OhioStreetBeach202108232000"
"Ohio Street Beach","08/23/2021 12:00:00 PM","22.7","1.54",,"0.196","5","11.4","08/23/2021 12:00 PM","OhioStreetBeach202108231200"
"Ohio Street Beach","08/22/2021 11:00:00 AM","23.6","27.82",,"0.337","5","11.6","08/22/2021 11:00 AM","OhioStreetBeach202108221100"
