"Beach Name","Measurement Timestamp","Water Temperature","Turbidity","Transducer Depth","Wave Height","Wave Period","Battery Life","Measurement Timestamp Label","Measurement ID"
"Ohio Street Beach","08/25/2021 10:00:00 AM","21","","","","","","",""
"Ohio Street Beach","08/25/2021 09:00:00 AM","22","","","","","","",""
"Ohio Street Beach","08/25/2021 09:00:00 AM","22","","","","","","",""
"Ohio Street Beach","08/25/2021 08:00:00 AM","23","","","","","","",""
"Ohio Street Beach","08/25/2021 07:00:00 AM","28","","","","","","",""
"Ohio Street Beach","08/25/2021 07:00:00 AM","20","","","","","","",""
"Ohio Street Beach","08/25/2021 07:00:00 AM","28","","","","","","",""
"Ohio Street Beach","08/25/2021 07:00:00 AM","20","","","547","","","",""
"Ohio Street Beach","08/25/2021 07:00:00 AM","20","","","","","","",""
"Ohio Street Beach","08/25/2021 07:00:00 AM","20","","","","","","",""
"Ohio Street Beach","08/25/2021 07:00:00 AM","20","","","","","","",""
"Ohio Street Beach","08/25/2021 07:00:00 AM","28","","","","","","",""
"Ohio Street Beach","08/25/2021 07:00:00 AM","28","","","","","","",""
"Ohio Street Beach","08/25/2021 07:00:00 AM","28","","","","","","",""
"Ohio Street Beach","08/25/2021 06:00:00 AM","25","","","","","","",""
"Ohio Street Beach","08/25/2021 05:00:00 AM","26","","","","","","",""
"Ohio Street Beach","08/25/2021 04:00:00 AM","27","","","","","","",""
"Ohio Street Beach","08/25/2021 03:00:00 AM","28","","","","","","",""
"Ohio Street Beach","08/25/2021 02:00:00 AM","29","","","","","","",""
"Ohio Street Beach","08/25/2021 01:00:00 AM","30","","","","","","",""
"Ohio Street Beach","08/25/2021 12:00:00 AM","31","","","","","","",""
"Ohio Street Beach","08/24/2021 11:00:00 PM","32","","","","","","",""
"Ohio Street Beach","08/24/2021 10:00:00 PM","33","","","","","","",""
