Column1;Column2;Column3;Column4
Beach Name;Measurement Timestamp;Water Temperature;Turbidity
Ohio Street Beach;07/07/2025 08:00:00 PM;-100,000;-100,000
Ohio Street Beach;07/07/2025 07:00:00 PM;-100,000;-100,000
Ohio Street Beach;07/07/2025 06:00:00 PM;-100,000;-100,000
Ohio Street Beach;07/07/2025 05:00:00 PM;-100,000;-100,000
Ohio Street Beach;07/07/2025 04:00:00 PM;-100,000;-100,000
Ohio Street Beach;07/07/2025 03:00:00 PM;-100,000;-100,000
Ohio Street Beach;07/07/2025 02:00:00 PM;-100,000;-100,000
Ohio Street Beach;07/07/2025 01:00:00 PM;-100,000;-100,000
Ohio Street Beach;07/07/2025 12:00:00 PM;-100,000;-100,000
Ohio Street Beach;07/07/2025 11:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/11/2025 06:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/11/2025 05:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/11/2025 04:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/11/2025 03:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/11/2025 02:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/11/2025 01:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/11/2025 12:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/10/2025 11:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/10/2025 10:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/10/2025 09:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/10/2025 08:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/10/2025 07:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/10/2025 06:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/10/2025 05:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/10/2025 04:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/10/2025 03:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/10/2025 02:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/10/2025 01:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/10/2025 12:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/10/2025 11:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/10/2025 10:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/10/2025 09:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/10/2025 08:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/10/2025 07:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/10/2025 06:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/10/2025 05:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/10/2025 04:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/10/2025 03:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/10/2025 02:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/10/2025 01:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/10/2025 12:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/09/2025 11:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/09/2025 10:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/09/2025 09:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/09/2025 08:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/09/2025 07:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/09/2025 06:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/09/2025 05:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/09/2025 04:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/09/2025 03:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/09/2025 02:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/09/2025 01:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/09/2025 12:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/09/2025 11:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/09/2025 10:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/09/2025 09:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/09/2025 08:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/09/2025 07:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/09/2025 06:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/09/2025 05:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/09/2025 04:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/09/2025 03:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/09/2025 02:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/09/2025 01:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/09/2025 12:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/08/2025 11:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/08/2025 10:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/08/2025 09:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/08/2025 08:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/08/2025 07:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/08/2025 06:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/08/2025 05:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/08/2025 04:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/08/2025 03:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/08/2025 02:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/08/2025 01:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/08/2025 12:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/08/2025 11:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/08/2025 10:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/08/2025 09:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/08/2025 08:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/08/2025 07:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/08/2025 06:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/08/2025 05:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/08/2025 04:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/08/2025 03:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/08/2025 02:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/08/2025 01:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/08/2025 12:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/07/2025 11:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/07/2025 10:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/07/2025 09:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/07/2025 08:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/07/2025 07:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/07/2025 06:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/07/2025 05:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/07/2025 04:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/07/2025 03:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/07/2025 02:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/07/2025 01:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/07/2025 12:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/07/2025 11:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/07/2025 10:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/07/2025 09:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/07/2025 08:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/07/2025 07:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/07/2025 06:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/07/2025 05:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/07/2025 04:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/07/2025 03:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/07/2025 02:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/07/2025 01:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/07/2025 12:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/06/2025 11:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/06/2025 10:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/06/2025 09:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/06/2025 08:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/06/2025 07:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/06/2025 06:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/06/2025 05:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/06/2025 04:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/06/2025 03:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/06/2025 02:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/06/2025 01:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/06/2025 12:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/06/2025 11:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/06/2025 10:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/06/2025 09:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/06/2025 08:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/06/2025 07:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/06/2025 06:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/06/2025 05:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/06/2025 04:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/06/2025 03:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/06/2025 02:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/06/2025 01:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/06/2025 12:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/05/2025 11:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/05/2025 10:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/05/2025 09:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/05/2025 08:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/05/2025 07:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/05/2025 06:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/05/2025 05:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/05/2025 04:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/05/2025 03:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/05/2025 02:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/05/2025 01:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/05/2025 12:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/05/2025 11:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/05/2025 10:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/05/2025 09:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/05/2025 08:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/05/2025 07:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/05/2025 06:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/05/2025 05:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/05/2025 04:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/05/2025 03:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/05/2025 02:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/05/2025 01:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/05/2025 12:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/04/2025 11:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/04/2025 10:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/04/2025 09:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/04/2025 08:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/04/2025 07:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/04/2025 06:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/04/2025 05:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/04/2025 04:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/04/2025 03:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/04/2025 02:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/04/2025 01:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/04/2025 12:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/04/2025 11:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/04/2025 10:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/04/2025 09:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/04/2025 08:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/04/2025 07:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/04/2025 06:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/04/2025 05:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/04/2025 04:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/04/2025 03:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/04/2025 02:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/04/2025 01:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/04/2025 12:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/03/2025 11:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/03/2025 10:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/03/2025 09:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/03/2025 08:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/03/2025 07:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/03/2025 06:00:00 PM;-100,000;-100,000
