"Beach Name","Measurement Timestamp","Water Temperature","Turbidity","Transducer Depth","Wave Height","Wave Period","Battery Life"
"Ohio Street Beach","08/25/2021 04:00:00 AM","23.1","1.3","","0.175","5","11.2"
"Ohio Street Beach","08/25/2021 03:00:00 AM","23.2","1.07","","0.18","6","11.2"
"Ohio Street Beach","08/25/2021 02:00:00 AM","23.2","1.21","","0.196","4","11.2"
"Ohio Street Beach","08/25/2021 01:00:00 AM","23.3","1.22","","0.178","4","11.2"
"Ohio Street Beach","08/25/2021 12:00:00 AM","23.4","-1111","","0.172","5","11.2"
"Ohio Street Beach","08/24/2021 11:00:00 PM","23.5","1.3","","0.187","5","11.3"
"Ohio Street Beach","08/24/2021 10:00:00 PM","23.5","1.38","1111","0.183","4","11.3"
"Ohio Street Beach","08/24/2021 09:00:00 PM","23.6","1.36","","0.208","5","11.3"
"Ohio Street Beach","08/24/2021 08:00:00 PM","23.6","1.22","","0.195","5","11.3"
"Ohio Street Beach","08/24/2021 07:00:00 PM","23.6","1.39","","0.389","4","11.3"
"Ohio Street Beach","08/24/2021 06:00:00 PM","23.6","0.73","","0.311","3","11.3"
"Ohio Street Beach","08/24/2021 05:00:00 PM","24.1","1.04","","0.183","4","11.3"
"Ohio Street Beach","08/24/2021 04:00:00 PM","24.4","1111","","0.142","-1111","11.3"
"Ohio Street Beach","08/24/2021 03:00:00 PM","24.5","0.83","","0.173","3","11.3"
"Ohio Street Beach","08/24/2021 02:00:00 PM","24.5","1","","0.144","3","11.3"
