"Beach Name","Measurement Timestamp","Water Temperature","Turbidity","Transducer Depth","Wave Height","Wave Period","Battery Life","Measurement Timestamp Label","Measurement ID"
"Calumet Beach","07/19/2015 11:00:00 AM","21.5","1.13","4","0.103","3","11.3","07/19/2015 11:00 AM","CalumetBeach201507191100"
"Montrose Beach","07/19/2015 11:00:00 AM","21.3","0.59",,"0.124","4","11","07/19/2015 11:00 AM","MontroseBeach201507191100"
"Ohio Street Beach","07/19/2015 11:00:00 AM","22.2","2.4",,"0.132","3","10.3","07/19/2015 11:00 AM","OhioStreetBeach201507191100"
"Osterman Beach","07/19/2015 11:00:00 AM","20.9","1.29",,"0.128","4","11.4","07/19/2015 11:00 AM","OstermanBeach201507191100"
"Rainbow Beach","07/19/2015 11:00:00 AM","21.3","1.09",,"-99,999.992","-100,000","9.9","07/19/2015 11:00 AM","RainbowBeach201507191100"
"63rd Street Beach","07/19/2015 10:00:00 AM","20.6","1.43",,"0.105","4","10.9","07/19/2015 10:00 AM","63rdStreetBeach201507191000"
"Calumet Beach","07/19/2015 10:00:00 AM","21.3","1.51",,"0.126","3","11.3","07/19/2015 10:00 AM","CalumetBeach201507191000"
"Montrose Beach","07/19/2015 10:00:00 AM","20.1","1.01",,"0.108","3","11","07/19/2015 10:00 AM","MontroseBeach201507191000"
"Ohio Street Beach","07/19/2015 10:00:00 AM","20.8","2.32",,"0.109","3","10.3","07/19/2015 10:00 AM","OhioStreetBeach201507191000"
"Osterman Beach","07/19/2015 10:00:00 AM","20.4","1.37",,"0.093","3","11.4","07/19/2015 10:00 AM","OstermanBeach201507191000"
"Rainbow Beach","07/19/2015 10:00:00 AM","20.5","1.38",,"-99,999.992","-100,000","9.9","07/19/2015 10:00 AM","RainbowBeach201507191000"
"63rd Street Beach","07/19/2015 09:00:00 AM","20.5","1.39",,"0.094","3","10.9","07/19/2015 9:00 AM","63rdStreetBeach201507190900"
"Calumet Beach","07/19/2015 09:00:00 AM","21.3","1.3",,"0.082","10","11.3","07/19/2015 9:00 AM","CalumetBeach201507190900"
"Montrose Beach","07/19/2015 09:00:00 AM","19.8","0.98",,"0.111","4","11","07/19/2015 9:00 AM","MontroseBeach201507190900"
"Ohio Street Beach","07/19/2015 09:00:00 AM","20.5","2.44",,"0.105","4","10.3","07/19/2015 9:00 AM","OhioStreetBeach201507190900"
"Osterman Beach","07/19/2015 09:00:00 AM","20","1.57",,"0.105","3","11.4","07/19/2015 9:00 AM","OstermanBeach201507190900"
"Rainbow Beach","07/19/2015 09:00:00 AM","20.4","1.36",,"-99,999.992","-100,000","10","07/19/2015 9:00 AM","RainbowBeach201507190900"
"63rd Street Beach","07/19/2015 08:00:00 AM","20.2","1.83",,"0.096","6","10.9","07/19/2015 8:00 AM","63rdStreetBeach201507190800"
"Calumet Beach","07/19/2015 08:00:00 AM","21.3","1.46",,"0.073","4","11.3","07/19/2015 8:00 AM","CalumetBeach201507190800"
"Montrose Beach","07/19/2015 08:00:00 AM","19.8","0.93",,"0.102","6","11","07/19/2015 8:00 AM","MontroseBeach201507190800"
"Ohio Street Beach","07/19/2015 08:00:00 AM","20.4","2.36",,"0.107","4","10.3","07/19/2015 8:00 AM","OhioStreetBeach201507190800"
"Osterman Beach","07/19/2015 08:00:00 AM","20.1","1.8",,"0.107","5","11.5","07/19/2015 8:00 AM","OstermanBeach201507190800"
"Rainbow Beach","07/19/2015 08:00:00 AM","20.2","1.27",,"-99,999.992","-100,000","10","07/19/2015 8:00 AM","RainbowBeach201507190800"
"63rd Street Beach","07/19/2015 07:00:00 AM","20.1","1.83",,"0.098","4","10.9","07/19/2015 7:00 AM","63rdStreetBeach201507190700"
"Calumet Beach","07/19/2015 07:00:00 AM","21.1","1.19",,"0.074","4","11.3","07/19/2015 7:00 AM","CalumetBeach201507190700"
"Montrose Beach","07/19/2015 07:00:00 AM","19.7","1.06",,"0.117","6","11","07/19/2015 7:00 AM","MontroseBeach201507190700"
"Ohio Street Beach","07/19/2015 07:00:00 AM","20.1","2.61",,"0.088","7","10.3","07/19/2015 7:00 AM","OhioStreetBeach201507190700"
"Osterman Beach","07/19/2015 07:00:00 AM","20.2","2.08",,"0.121","6","11.5","07/19/2015 7:00 AM","OstermanBeach201507190700"
"Rainbow Beach","07/19/2015 07:00:00 AM","20","1.26",,"-99,999.992","-100,000","10","07/19/2015 7:00 AM","RainbowBeach201507190700"
"63rd Street Beach","07/19/2015 06:00:00 AM","20","1.49",,"0.105","4","10.9","07/19/2015 6:00 AM","63rdStreetBeach201507190600"
"Calumet Beach","07/19/2015 06:00:00 AM","21","1.2",,"0.082","4","11.3","07/19/2015 6:00 AM","CalumetBeach201507190600"
"Montrose Beach","07/19/2015 06:00:00 AM","19.7","1.21",,"0.113","8","11","07/19/2015 6:00 AM","MontroseBeach201507190600"
"Ohio Street Beach","07/19/2015 06:00:00 AM","20.1","2.68",,"0.094","3","10.3","07/19/2015 6:00 AM","OhioStreetBeach201507190600"
"Osterman Beach","07/19/2015 06:00:00 AM","20.1","2.25",,"0.125","7","11.5","07/19/2015 6:00 AM","OstermanBeach201507190600"
"Rainbow Beach","07/19/2015 06:00:00 AM","20","1.33",,"-99,999.992","-100,000","10","07/19/2015 6:00 AM","RainbowBeach201507190600"
"63rd Street Beach","07/19/2015 05:00:00 AM","20","1.87",,"0.116","4","10.9","07/19/2015 5:00 AM","63rdStreetBeach201507190500"
"Calumet Beach","07/19/2015 05:00:00 AM","21.1","1.28",,"0.077","3","11.3","07/19/2015 5:00 AM","CalumetBeach201507190500"
"Montrose Beach","07/19/2015 05:00:00 AM","19.7","1.12",,"0.134","4","11","07/19/2015 5:00 AM","MontroseBeach201507190500"
"Ohio Street Beach","07/19/2015 05:00:00 AM","20","3.08",,"0.083","4","10.3","07/19/2015 5:00 AM","OhioStreetBeach201507190500"
"Osterman Beach","07/19/2015 05:00:00 AM","20.1","2.14",,"0.13","4","11.5","07/19/2015 5:00 AM","OstermanBeach201507190500"
"Rainbow Beach","07/19/2015 05:00:00 AM","20","1.4",,"-99,999.992","-100,000","10","07/19/2015 5:00 AM","RainbowBeach201507190500"
"63rd Street Beach","07/19/2015 04:00:00 AM","20.1","2.39",,"0.119","4","10.9","07/19/2015 4:00 AM","63rdStreetBeach201507190400"
"Calumet Beach","07/19/2015 04:00:00 AM","21","2.09",,"0.089","4","11.3","07/19/2015 4:00 AM","CalumetBeach201507190400"
"Montrose Beach","07/19/2015 04:00:00 AM","19.8","1.4",,"0.127","4","11","07/19/2015 4:00 AM","MontroseBeach201507190400"
"Ohio Street Beach","07/19/2015 04:00:00 AM","20","3.32",,"0.095","4","10.3","07/19/2015 4:00 AM","OhioStreetBeach201507190400"
"Osterman Beach","07/19/2015 04:00:00 AM","20.2","2.56",,"0.125","3","11.5","07/19/2015 4:00 AM","OstermanBeach201507190400"
